ID,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
1718,High,M,M,1,2067.82,N,48,15251.53,70,7625.765,762.5765,17.5,3,8,0.0,762.5765
1719,Medium,M,M,2,30665.2,Y,23,5830.58,63,1457.645,145.7645,9.45,1,15,0.0,145.7645
1720,Medium,F,M,1,78000.0,Y,56,6080.61,30,1520.1525,152.01525,4.5,3,12,0.0,152.01525
1721,Low,F,M,1,98680.4,Y,59,17581.76,8,8790.88,879.088,2.0,1,7,879.088,0.0
1722,Medium,F,M,2,65619.7,Y,46,13561.36,144,6780.68,678.068,36.0,4,10,0.0,678.068
1723,Low,M,M,1,95620.3,Y,49,10911.09,93,5455.545,545.5545,23.25,5,8,545.5545,0.0
1724,High,F,S,0,85275.0,N,47,22482.25,151,11241.125,1124.1125,37.75,3,10,0.0,1124.1125
1725,Low,F,M,1,66921.4,Y,43,15701.57,8,7850.785,785.0785,2.0,4,7,785.0785,0.0
1726,Low,F,M,1,98453.6,Y,46,13721.37,11,6860.685,686.0685,2.75,3,8,686.0685,0.0
1727,High,F,S,2,57420.0,Y,48,25182.52,252,12591.26,1259.126,63.0,4,7,0.0,1259.126
1728,High,M,M,0,68000.0,N,67,3930.39,26,982.5975,98.25975,3.9,3,18,0.0,196.5195
1729,Low,F,M,2,47639.1,N,48,17481.75,39,8740.875,874.0875,9.75,1,5,874.0875,0.0
1730,Medium,M,M,0,3911.9,N,38,5720.57,25,1430.1425,143.01425,3.75,3,13,0.0,143.01425
1731,Low,F,S,0,39461.0,N,22,22872.29,103,11436.145,1143.6145,25.75,1,6,1143.6145,0.0
1732,High,M,M,1,47371.0,Y,55,4980.5,258,1245.125,124.5125,38.7,2,18,0.0,249.025
1733,High,M,S,1,16432.1,Y,21,20412.04,80,10206.02,1020.602,20.0,4,9,0.0,1020.602
1734,Low,F,S,1,540.4,Y,39,12341.23,7,6170.615,617.0615,1.75,3,8,617.0615,0.0
1735,Medium,F,M,2,80087.7,N,42,8740.87,22,2185.2175,218.52175,3.3,4,14,0.0,218.52175
1736,Low,F,M,2,59691.3,N,38,21942.19,256,10971.095,1097.1095,64.0,3,6,1097.1095,0.0
1737,Low,F,S,2,11251.1,Y,52,28422.84,113,14211.42,1421.142,28.25,3,5,1421.142,0.0
1738,Medium,F,S,2,93559.1,N,58,1520.15,29,380.0375,38.00375,4.35,1,14,0.0,38.00375
1739,Low,F,S,2,3416.62,Y,23,18971.9,104,9485.95,948.595,26.0,1,5,948.595,0.0
1740,High,F,S,0,93454.3,Y,49,18941.89,25,9470.945,947.0945,6.25,1,6,0.0,947.0945
1741,Low,M,M,0,5745.0,Y,15,26402.64,17,13201.32,1320.132,4.25,5,5,1320.132,0.0
1742,Medium,F,M,2,11234.7,Y,49,690.07,112,172.5175,17.25175,16.8,3,10,0.0,17.25175
1743,Low,F,M,1,82931.3,N,65,19241.92,118,9620.96,962.096,29.5,3,5,962.096,0.0
1744,High,F,M,2,57483.9,N,44,17011.7,27,8505.85,850.585,6.75,4,5,0.0,850.585
1745,Low,F,S,2,21274.0,N,46,10871.09,32,5435.545,543.5545,8.0,1,6,543.5545,0.0
1746,Low,F,M,2,28267.0,N,30,21872.19,192,10936.095,1093.6095,48.0,5,10,1093.6095,0.0
1747,Medium,F,M,2,36725.1,N,56,8650.87,77,2162.7175,216.27175,11.55,4,15,0.0,216.27175
1748,Low,M,S,1,94188.3,N,58,20862.09,19,10431.045,1043.1045,4.75,1,5,1043.1045,0.0
1749,High,F,M,2,91861.0,Y,42,15321.53,6,7660.765,766.0765,1.5,4,10,0.0,766.0765
1750,High,F,S,1,12374.9,Y,33,17491.75,106,8745.875,874.5875,26.5,1,10,0.0,874.5875
1751,High,F,M,2,69133.9,Y,27,8580.86,37,2145.215,214.5215,5.55,3,17,0.0,429.043
1752,Low,F,M,2,84948.0,Y,29,11141.11,12,5570.555,557.0555,3.0,1,7,557.0555,0.0
1753,High,F,M,2,30998.8,N,41,2400.24,50,600.06,60.006,7.5,1,19,0.0,120.012
1754,High,M,S,0,15924.2,N,14,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0
1755,Medium,M,M,2,21416.5,N,36,9900.99,8,2475.2475,247.52475,1.2,5,12,0.0,247.52475
1756,Medium,M,M,2,78554.2,N,17,5590.56,23,1397.64,139.764,3.45,5,12,0.0,139.764
1757,High,F,M,2,38215.9,N,31,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0
1758,Medium,F,M,2,49745.3,N,48,2840.28,24,710.07,71.007,3.6,1,12,0.0,71.007
1759,Low,F,M,2,88427.0,N,14,22462.25,43,11231.125,1123.1125,10.75,2,10,1123.1125,0.0
1760,Medium,F,M,2,98003.7,Y,26,1030.1,83,257.525,25.7525,12.45,1,15,0.0,25.7525
1761,High,M,S,0,89142.7,N,54,3760.38,5,940.095,94.0095,0.75,5,16,0.0,188.019
1762,High,F,S,0,74530.8,N,63,20892.09,106,10446.045,1044.6045,26.5,5,7,0.0,1044.6045
1763,High,F,M,2,76289.2,N,48,22202.22,82,11101.11,1110.111,20.5,4,8,0.0,1110.111
1764,Medium,M,M,1,66931.9,N,64,11721.17,5,5860.585,586.0585,1.25,4,9,0.0,586.0585
1765,Medium,M,M,2,9309.57,Y,25,8560.86,99,2140.215,214.0215,14.85,3,14,0.0,214.0215
1766,High,F,S,0,77726.4,N,57,14001.4,9,7000.7,700.07,2.25,4,10,0.0,700.07
1767,High,F,S,1,2800.68,N,46,28452.85,106,14226.425,1422.6425,26.5,5,10,0.0,1422.6425
1768,High,F,M,2,90271.6,N,45,13961.4,96,6980.7,698.07,24.0,2,7,0.0,698.07
1769,High,F,M,2,64816.6,Y,31,21002.1,6,10501.05,1050.105,1.5,5,9,0.0,1050.105
1770,Low,F,M,2,98217.1,N,45,29492.95,13,14746.475,1474.6475,3.25,2,7,1474.6475,0.0
1771,High,F,S,0,15989.3,N,62,3670.37,25,917.5925,91.75925,3.75,1,20,0.0,183.5185
1772,Medium,M,S,1,84978.1,N,22,5030.5,76,1257.625,125.7625,11.4,3,15,0.0,125.7625
1773,High,F,M,2,36647.9,N,50,21412.14,85,10706.07,1070.607,21.25,5,8,0.0,1070.607
1774,Medium,F,S,0,64319.2,N,41,3010.3,37,752.575,75.2575,5.55,2,11,0.0,75.2575
1775,Low,F,S,1,73338.0,N,48,20922.09,9,10461.045,1046.1045,2.25,4,5,1046.1045,0.0
1776,High,F,S,0,433.74,N,61,3300.33,40,825.0825,82.50825,6.0,3,20,0.0,165.0165
1777,Low,F,M,2,16962.2,N,45,18601.86,8,9300.93,930.093,2.0,3,6,930.093,0.0
1778,Low,M,M,2,10708.3,N,26,20832.08,117,10416.04,1041.604,29.25,4,7,1041.604,0.0
1779,Low,F,M,0,2031.61,N,20,21642.16,87,10821.08,1082.108,21.75,4,9,1082.108,0.0
1780,Low,F,S,2,16938.5,N,53,13351.34,8,6675.67,667.567,2.0,4,10,667.567,0.0
1781,Medium,F,M,0,55221.0,N,41,490.05,15,122.5125,12.25125,2.25,3,10,0.0,12.25125
1782,High,F,M,1,8073.11,N,43,28702.87,60,14351.435,1435.1435,15.0,4,9,0.0,1435.1435
1783,High,M,M,1,95448.6,Y,54,24242.42,5,12121.21,1212.121,1.25,3,5,0.0,1212.121
1784,High,M,S,1,24141.5,Y,17,28822.88,97,14411.44,1441.144,24.25,3,8,0.0,1441.144
1785,Low,M,S,2,63152.6,Y,63,29932.99,40,14966.495,1496.6495,10.0,1,7,1496.6495,0.0
1786,Low,M,S,2,72084.7,N,56,29112.91,9,14556.455,1455.6455,2.25,1,9,1455.6455,0.0
1787,Low,F,S,0,42760.5,N,46,13471.35,40,6735.675,673.5675,10.0,2,7,673.5675,0.0
1788,Low,F,S,1,49072.0,N,70,23502.35,10,11751.175,1175.1175,2.5,4,7,1175.1175,0.0
1789,Low,F,M,0,27371.8,Y,61,16141.61,126,8070.805,807.0805,31.5,5,10,807.0805,0.0
1790,Low,M,M,0,71472.9,N,42,16021.6,114,8010.8,801.08,28.5,3,5,801.08,0.0
1791,High,M,M,0,95405.7,N,47,7740.77,6,1935.1925,193.51925,0.9,2,15,0.0,387.0385
1792,High,M,S,0,95786.8,Y,58,21332.13,87,10666.065,1066.6065,21.75,1,5,0.0,1066.6065
1793,High,M,S,0,90321.6,N,39,870.09,11,217.5225,21.75225,1.65,1,17,0.0,43.5045
1794,Medium,M,D,1,90478.6,N,55,18021.8,136,9010.9,901.09,34.0,5,6,0.0,901.09
1795,Medium,F,M,2,56187.0,N,41,8090.81,13,2022.7025,202.27025,1.95,2,11,0.0,202.27025
1796,High,F,S,1,42000.0,N,24,23562.36,206,11781.18,1178.118,51.5,5,7,0.0,1178.118
1797,High,M,M,0,9780.66,N,25,2800.28,11,700.07,70.007,1.65,5,16,0.0,140.014
1798,High,M,M,2,53010.8,N,19,12451.25,46,6225.625,622.5625,11.5,2,7,0.0,622.5625
1799,Low,M,M,2,75004.5,N,65,26522.65,32,13261.325,1326.1325,8.0,3,7,1326.1325,0.0
1800,Low,M,M,0,19749.3,N,60,20222.02,13,10111.01,1011.101,3.25,5,5,1011.101,0.0
1801,High,M,S,1,57626.9,Y,44,9380.94,38,2345.235,234.5235,5.7,1,18,0.0,469.047
1802,Medium,M,D,0,20078.0,N,33,9650.97,6,2412.7425,241.27425,0.9,4,12,0.0,241.27425
1803,Low,F,M,2,47902.0,N,26,17441.74,49,8720.87,872.087,12.25,4,8,872.087,0.0
1804,High,M,M,1,7545.96,Y,17,22392.24,178,11196.12,1119.612,44.5,5,9,0.0,1119.612
1805,Low,M,S,2,89459.9,N,53,11541.15,22,5770.575,577.0575,5.5,5,5,577.0575,0.0
1806,Low,F,S,1,13576.5,N,39,14831.48,25,7415.74,741.574,6.25,1,5,741.574,0.0
1807,Low,F,M,2,42031.8,N,51,20452.05,39,10226.025,1022.6025,9.75,5,9,1022.6025,0.0
1808,High,M,S,2,43634.5,N,22,29442.94,104,14721.47,1472.147,26.0,5,10,0.0,1472.147
1809,Low,F,S,1,13109.1,N,63,22382.24,40,11191.12,1119.112,10.0,3,5,1119.112,0.0
1810,High,M,S,1,92647.5,N,56,16041.6,10,8020.8,802.08,2.5,3,7,0.0,802.08
1811,Medium,F,S,2,21021.6,Y,63,3750.38,11,937.595,93.7595,1.65,2,13,0.0,93.7595
1812,Low,M,S,0,74460.7,Y,55,25532.55,179,12766.275,1276.6275,44.75,2,7,1276.6275,0.0
1813,Low,F,S,2,28787.4,N,42,27972.8,58,13986.4,1398.64,14.5,1,8,1398.64,0.0
1814,High,M,M,1,13091.6,N,59,22792.28,20,11396.14,1139.614,5.0,5,8,0.0,1139.614
1815,High,F,M,2,62061.8,Y,46,29862.99,52,14931.495,1493.1495,13.0,2,8,0.0,1493.1495
1816,Low,F,M,1,20550.9,Y,22,27722.77,57,13861.385,1386.1385,14.25,3,9,1386.1385,0.0
1817,High,M,M,2,1765.41,N,19,3040.3,44,760.075,76.0075,6.6,3,19,0.0,152.015
1818,High,F,S,2,19131.1,N,56,22152.22,34,11076.11,1107.611,8.5,1,7,0.0,1107.611
1819,Low,F,S,2,6440.46,Y,42,22662.27,27,11331.135,1133.1135,6.75,1,10,1133.1135,0.0
1820,Medium,M,M,2,28766.9,N,47,6110.61,58,1527.6525,152.76525,8.7,5,15,0.0,152.76525
1821,Low,M,M,2,91272.2,Y,25,26992.7,13,13496.35,1349.635,3.25,2,6,1349.635,0.0
1822,High,F,S,0,73228.3,N,43,22472.25,28,11236.125,1123.6125,7.0,4,9,0.0,1123.6125
1823,Low,M,M,1,64792.3,N,52,13051.31,36,6525.655,652.5655,9.0,5,5,652.5655,0.0
1824,Low,F,S,0,93322.1,Y,40,29922.99,8,14961.495,1496.1495,2.0,1,10,1496.1495,0.0
1825,Medium,M,M,2,49910.7,Y,52,27422.74,23,13711.37,1371.137,5.75,2,8,0.0,1371.137
1826,Low,M,M,0,76161.4,Y,45,11961.2,25,5980.6,598.06,6.25,1,8,598.06,0.0
1827,High,F,M,2,55860.0,Y,15,16011.6,10,8005.8,800.58,2.5,4,7,0.0,800.58
1828,High,M,M,2,57360.8,Y,53,10361.04,57,5180.52,518.052,14.25,1,5,0.0,518.052
1829,High,M,M,1,92414.7,Y,46,29432.94,10,14716.47,1471.647,2.5,3,5,0.0,1471.647
1830,High,F,S,2,14578.8,Y,61,11911.19,95,5955.595,595.5595,23.75,1,8,0.0,595.5595
1831,High,F,M,2,87578.2,Y,53,290.03,22,72.5075,7.25075,3.3,4,20,0.0,14.5015
1832,High,F,M,2,86695.4,N,14,25942.59,32,12971.295,1297.1295,8.0,1,10,0.0,1297.1295
1833,Medium,M,M,1,5306.11,N,39,5520.55,17,1380.1375,138.01375,2.55,5,12,0.0,138.01375
1834,High,F,M,0,83287.0,N,59,29642.96,90,14821.48,1482.148,22.5,1,5,0.0,1482.148
1835,Low,M,M,1,2067.82,N,48,15251.53,70,7625.765,762.5765,17.5,5,10,762.5765,0.0
1836,Medium,M,M,2,30665.2,Y,23,5830.58,63,1457.645,145.7645,9.45,4,13,0.0,145.7645
1837,Medium,F,M,1,83287.0,Y,49,6080.61,30,1520.1525,152.01525,4.5,3,10,0.0,152.01525
1838,High,M,M,1,98680.4,Y,59,17581.76,8,8790.88,879.088,2.0,1,7,0.0,879.088
1839,High,F,M,2,65619.7,Y,53,13561.36,144,6780.68,678.068,36.0,1,7,0.0,678.068
1840,Low,M,M,1,95620.3,Y,49,10911.09,93,5455.545,545.5545,23.25,5,5,545.5545,0.0
1841,Low,F,D,1,85275.0,N,62,22482.25,151,11241.125,1124.1125,37.75,5,7,1124.1125,0.0
1842,High,F,M,1,66921.4,Y,47,15701.57,8,7850.785,785.0785,2.0,1,10,0.0,785.0785
1843,Low,F,M,1,98453.6,Y,48,13721.37,11,6860.685,686.0685,2.75,2,10,686.0685,0.0
1844,Low,F,S,2,57420.0,Y,62,25182.52,252,12591.26,1259.126,63.0,5,8,1259.126,0.0
1845,Medium,M,M,0,66000.0,N,41,3930.39,26,982.5975,98.25975,3.9,1,10,0.0,98.25975
1846,Low,F,M,2,47639.1,N,41,17481.75,39,8740.875,874.0875,9.75,3,6,874.0875,0.0
1847,Low,F,S,0,39461.0,N,22,22872.29,103,11436.145,1143.6145,25.75,5,8,1143.6145,0.0
1848,Medium,M,M,1,47371.0,Y,55,4980.5,258,1245.125,124.5125,38.7,4,14,0.0,124.5125
1849,Medium,F,S,0,89813.6,N,13,14941.49,149,7470.745,747.0745,37.25,5,10,0.0,747.0745
1850,High,M,S,1,16432.1,Y,21,20412.04,80,10206.02,1020.602,20.0,5,6,0.0,1020.602
1851,High,F,S,1,540.4,Y,39,12341.23,7,6170.615,617.0615,1.75,3,7,0.0,617.0615
1852,Medium,F,M,2,80087.7,N,42,8740.87,22,2185.2175,218.52175,3.3,4,10,0.0,218.52175
1853,Low,F,M,2,59691.3,N,38,21942.19,256,10971.095,1097.1095,64.0,3,6,1097.1095,0.0
1854,Low,F,S,2,11251.1,Y,62,28422.84,113,14211.42,1421.142,28.25,3,7,1421.142,0.0
1855,Medium,F,S,2,93559.1,N,58,1520.15,29,380.0375,38.00375,4.35,2,11,0.0,38.00375
1856,Low,F,S,2,3416.62,Y,23,18971.9,104,9485.95,948.595,26.0,1,9,948.595,0.0
1857,Low,F,S,1,93454.3,Y,49,18941.89,25,9470.945,947.0945,6.25,3,10,947.0945,0.0
1858,High,M,M,0,5745.0,Y,15,26402.64,17,13201.32,1320.132,4.25,2,10,0.0,1320.132
1859,High,F,M,2,11234.7,Y,49,690.07,112,172.5175,17.25175,16.8,3,17,0.0,34.5035
1860,High,F,M,1,82931.3,N,65,19241.92,118,9620.96,962.096,29.5,2,5,0.0,962.096
1861,High,F,M,2,57483.9,N,44,17011.7,27,8505.85,850.585,6.75,2,9,0.0,850.585
1862,Low,F,S,2,21274.0,N,46,10871.09,32,5435.545,543.5545,8.0,4,6,543.5545,0.0
1863,Low,F,M,2,28267.0,N,30,21872.19,192,10936.095,1093.6095,48.0,4,10,1093.6095,0.0
1864,High,F,M,2,36725.1,N,56,8650.87,77,2162.7175,216.27175,11.55,1,19,0.0,432.5435
1865,Low,M,S,1,94188.3,N,58,20862.09,19,10431.045,1043.1045,4.75,5,7,1043.1045,0.0
1866,Low,F,M,2,91861.0,Y,42,15321.53,6,7660.765,766.0765,1.5,3,9,766.0765,0.0
1867,High,F,S,1,12374.9,Y,33,17491.75,106,8745.875,874.5875,26.5,1,7,0.0,874.5875
1868,High,F,M,2,69133.9,Y,27,8580.86,37,2145.215,214.5215,5.55,4,15,0.0,429.043
1869,High,F,M,2,84948.0,Y,29,11141.11,12,5570.555,557.0555,3.0,1,8,0.0,557.0555
1870,High,F,M,2,30998.8,N,41,2400.24,50,600.06,60.006,7.5,5,15,0.0,120.012
1871,High,M,S,0,21416.5,N,36,9900.99,8,2475.2475,247.52475,1.2,4,20,0.0,495.0495
1872,Medium,M,M,2,78554.2,N,17,5590.56,23,1397.64,139.764,3.45,3,13,0.0,139.764
1873,High,F,M,2,38215.9,N,31,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0
1874,High,F,M,2,49745.3,N,48,2840.28,24,710.07,71.007,3.6,3,19,0.0,142.014
1875,Low,F,M,2,88427.0,N,14,22462.25,43,11231.125,1123.1125,10.75,2,5,1123.1125,0.0
1876,High,F,M,2,98003.7,Y,26,1030.1,83,257.525,25.7525,12.45,4,15,0.0,51.505
1877,High,M,S,0,89142.7,N,54,3760.38,5,940.095,94.0095,0.75,2,17,0.0,188.019
1878,High,F,S,0,74530.8,N,63,20892.09,106,10446.045,1044.6045,26.5,3,10,0.0,1044.6045
1879,Low,F,M,2,76289.2,N,48,22202.22,82,11101.11,1110.111,20.5,5,9,1110.111,0.0
1880,Low,M,M,1,66931.9,N,64,11721.17,5,5860.585,586.0585,1.25,2,7,586.0585,0.0
1881,High,F,M,2,9309.57,Y,25,8560.86,99,2140.215,214.0215,14.85,1,17,0.0,428.043
1882,High,F,S,0,77726.4,N,57,14001.4,9,7000.7,700.07,2.25,5,5,0.0,700.07
1883,Low,F,S,1,2800.68,N,46,28452.85,106,14226.425,1422.6425,26.5,2,9,1422.6425,0.0
1884,Medium,F,M,2,90271.6,N,45,13961.4,96,6980.7,698.07,24.0,3,10,0.0,698.07
1885,Low,F,M,2,64816.6,Y,31,21002.1,6,10501.05,1050.105,1.5,2,5,1050.105,0.0
1886,Low,F,M,2,98217.1,N,45,29492.95,13,14746.475,1474.6475,3.25,4,8,1474.6475,0.0
1887,Medium,F,S,0,15989.3,N,62,3670.37,25,917.5925,91.75925,3.75,1,12,0.0,91.75925
1888,Medium,M,S,1,84978.1,N,22,5030.5,76,1257.625,125.7625,11.4,2,11,0.0,125.7625
1889,High,F,M,2,36647.9,N,50,21412.14,85,10706.07,1070.607,21.25,5,6,0.0,1070.607
1890,High,F,S,0,64319.2,N,41,3010.3,37,752.575,75.2575,5.55,2,15,0.0,150.515
1891,Low,F,S,1,73338.0,N,48,20922.09,9,10461.045,1046.1045,2.25,4,9,1046.1045,0.0
1892,Medium,F,S,0,433.74,N,61,3300.33,40,825.0825,82.50825,6.0,4,11,0.0,82.50825
1893,High,F,M,2,16962.2,N,45,18601.86,8,9300.93,930.093,2.0,5,9,0.0,930.093
1894,Low,M,M,2,10708.3,N,26,20832.08,117,10416.04,1041.604,29.25,1,6,1041.604,0.0
1895,High,F,M,0,2031.61,N,20,21642.16,87,10821.08,1082.108,21.75,5,7,0.0,1082.108
1896,High,F,S,2,16938.5,N,41,13351.34,8,6675.67,667.567,2.0,1,10,0.0,667.567
1897,High,F,M,0,55221.0,N,46,490.05,15,122.5125,12.25125,2.25,4,15,0.0,24.5025
1898,Low,F,M,1,8073.11,N,70,28702.87,60,14351.435,1435.1435,15.0,3,6,1435.1435,0.0
1899,High,M,M,1,95448.6,Y,54,24242.42,5,12121.21,1212.121,1.25,2,9,0.0,1212.121
1900,Low,M,S,1,24141.5,Y,17,28822.88,97,14411.44,1441.144,24.25,2,10,1441.144,0.0
1901,High,M,S,2,63152.6,Y,63,29932.99,40,14966.495,1496.6495,10.0,1,9,0.0,1496.6495
1902,High,M,S,2,72084.7,N,56,29112.91,9,14556.455,1455.6455,2.25,5,7,0.0,1455.6455
1903,Low,F,S,0,42760.5,N,61,13471.35,40,6735.675,673.5675,10.0,2,6,673.5675,0.0
1904,Low,F,S,1,49072.0,N,55,23502.35,10,11751.175,1175.1175,2.5,2,10,1175.1175,0.0
1905,Low,F,M,0,27371.8,Y,52,16141.61,126,8070.805,807.0805,31.5,3,8,807.0805,0.0
1906,High,M,M,1,71472.9,N,42,16021.6,114,8010.8,801.08,28.5,1,10,0.0,801.08
1907,High,M,M,0,95405.7,N,47,7740.77,6,1935.1925,193.51925,0.9,2,15,0.0,387.0385
1908,Low,M,S,0,95786.8,Y,58,21332.13,87,10666.065,1066.6065,21.75,5,9,1066.6065,0.0
1909,High,M,S,0,90321.6,N,55,870.09,11,217.5225,21.75225,1.65,2,19,0.0,43.5045
1910,Low,M,S,1,90478.6,N,55,18021.8,136,9010.9,901.09,34.0,4,9,901.09,0.0
1911,Medium,F,M,2,56187.0,N,43,8090.81,13,2022.7025,202.27025,1.95,1,14,0.0,202.27025
1912,Medium,F,S,1,35089.0,N,24,23562.36,206,11781.18,1178.118,51.5,3,5,1178.118,0.0
1913,High,M,M,2,53010.8,N,19,12451.25,46,6225.625,622.5625,11.5,1,7,0.0,622.5625
1914,Low,M,M,1,75004.5,N,65,26522.65,32,13261.325,1326.1325,8.0,5,9,1326.1325,0.0
1915,Medium,M,M,0,19749.3,N,60,20222.02,13,10111.01,1011.101,3.25,4,9,0.0,1011.101
1916,Medium,M,S,1,57626.9,Y,44,9380.94,38,2345.235,234.5235,5.7,5,15,0.0,234.5235
1917,High,M,S,0,20078.0,N,33,9650.97,6,2412.7425,241.27425,0.9,2,18,0.0,482.5485
1918,High,F,M,2,47902.0,N,26,17441.74,49,8720.87,872.087,12.25,1,7,0.0,872.087
1919,Low,M,M,1,7545.96,Y,17,22392.24,178,11196.12,1119.612,44.5,3,9,1119.612,0.0
1920,High,M,S,2,89459.9,N,53,11541.15,22,5770.575,577.0575,5.5,5,7,0.0,577.0575
1921,High,F,S,1,13576.5,N,39,14831.48,25,7415.74,741.574,6.25,3,5,0.0,741.574
1922,High,F,M,2,42031.8,N,51,20452.05,39,10226.025,1022.6025,9.75,1,8,0.0,1022.6025
1923,Low,M,S,2,43634.5,N,22,29442.94,104,14721.47,1472.147,26.0,1,10,1472.147,0.0
1924,Low,F,S,1,13109.1,N,63,22382.24,40,11191.12,1119.112,10.0,5,10,1119.112,0.0
1925,High,M,S,1,92647.5,N,56,16041.6,10,8020.8,802.08,2.5,4,8,0.0,802.08
1926,High,F,S,2,21021.6,Y,63,3750.38,11,937.595,93.7595,1.65,2,18,0.0,187.519
1927,Low,M,S,0,74460.7,Y,55,25532.55,179,12766.275,1276.6275,44.75,4,6,1276.6275,0.0
1928,High,F,S,2,28787.4,N,42,27972.8,58,13986.4,1398.64,14.5,3,5,0.0,1398.64
1929,High,M,M,1,13091.6,N,59,22792.28,20,11396.14,1139.614,5.0,1,10,0.0,1139.614
1930,Low,F,M,2,62061.8,Y,46,29862.99,52,14931.495,1493.1495,13.0,2,7,1493.1495,0.0
1931,Low,F,M,1,20550.9,Y,22,27722.77,57,13861.385,1386.1385,14.25,3,9,1386.1385,0.0
1932,High,M,M,2,1765.41,N,19,3040.3,44,760.075,76.0075,6.6,1,18,0.0,152.015
1933,Low,F,S,2,19131.1,N,56,22152.22,34,11076.11,1107.611,8.5,5,6,1107.611,0.0
1934,High,F,S,2,6440.46,Y,41,22662.27,27,11331.135,1133.1135,6.75,1,9,0.0,1133.1135
1935,Medium,M,S,0,28766.9,N,47,6110.61,58,1527.6525,152.76525,8.7,5,13,0.0,152.76525
1936,High,M,M,2,91272.2,Y,25,26992.7,13,13496.35,1349.635,3.25,5,6,0.0,1349.635
1937,Medium,F,S,0,73228.3,N,43,22472.25,28,11236.125,1123.6125,7.0,3,9,0.0,1123.6125
1938,Medium,M,M,1,64792.3,N,52,13051.31,36,6525.655,652.5655,9.0,1,6,652.5655,0.0
1939,High,F,S,0,93322.1,Y,40,29922.99,8,14961.495,1496.1495,2.0,3,9,0.0,1496.1495
1940,Low,M,M,2,49910.7,Y,52,27422.74,23,13711.37,1371.137,5.75,2,5,1371.137,0.0
1941,High,M,M,1,76161.4,Y,45,11961.2,25,5980.6,598.06,6.25,1,7,0.0,598.06
1942,Low,F,M,2,55860.0,Y,15,16011.6,10,8005.8,800.58,2.5,1,6,800.58,0.0
1943,Low,M,M,2,57360.8,Y,53,10361.04,57,5180.52,518.052,14.25,2,9,518.052,0.0
1944,High,M,M,0,92414.7,Y,46,29432.94,10,14716.47,1471.647,2.5,2,5,0.0,1471.647
1945,High,F,S,2,14578.8,Y,61,11911.19,95,5955.595,595.5595,23.75,4,9,0.0,595.5595
1946,High,F,M,2,87578.2,Y,53,290.03,22,72.5075,7.25075,3.3,1,15,0.0,14.5015
1947,High,F,M,2,86695.4,N,14,25942.59,32,12971.295,1297.1295,8.0,5,5,0.0,1297.1295
1948,High,F,M,0,77000.0,N,47,29642.96,90,14821.48,1482.148,22.5,1,8,0.0,1482.148
1949,Low,M,M,1,2067.82,N,48,15251.53,70,7625.765,762.5765,17.5,4,9,762.5765,0.0
